customer_id,transaction_amount,transaction_type,location,device,past_fraud_history,previous_transaction_pattern,fraudulent
CUST1985,329613,RTGS,Bangalore,Vivo X70,No,Large Transactions,Yes
CUST7641,100659,Debit Card,Kolkata,OnePlus 9,Yes,High Frequency,Yes
CUST8632,397857,Debit Card,Patna,Vivo X70,No,Normal,Yes
CUST4680,142151,Debit Card,Delhi,Samsung S22,No,Normal,No
CUST6452,17875,RTGS,Jaipur,Vivo X70,No,High Frequency,No
CUST7089,256339,UPI,Jaipur,Vivo X70,Yes,Normal,Yes
CUST5094,437485,RTGS,Bangalore,iPhone 13,No,Large Transactions,Yes
CUST9522,330864,IMPS,Mumbai,Redmi Note 10,Yes,High Frequency,Yes
CUST5046,135032,IMPS,Jaipur,Vivo X70,Yes,Large Transactions,Yes
CUST6695,114822,RTGS,Chennai,Samsung S22,No,Normal,No
CUST1712,56973,Credit Card,Mumbai,OnePlus 9,No,Normal,No
CUST9179,112403,Debit Card,Mumbai,Samsung S22,Yes,Normal,Yes
CUST9083,460618,Debit Card,Patna,iPhone 13,Yes,High Frequency,Yes
CUST1506,396181,IMPS,Jaipur,OnePlus 9,No,High Frequency,Yes
CUST5505,168803,Credit Card,Delhi,Samsung S22,Yes,Large Transactions,Yes
CUST7836,331690,IMPS,Chennai,iPhone 13,Yes,High Frequency,Yes
CUST6326,180205,RTGS,Patna,OnePlus 9,No,High Frequency,No
CUST2802,66263,Debit Card,Jaipur,OnePlus 9,Yes,Normal,Yes
CUST6800,344686,NEFT,Patna,Vivo X70,No,High Frequency,Yes
CUST2126,118634,UPI,Delhi,Redmi Note 10,Yes,Large Transactions,Yes
CUST8754,119891,NEFT,Bangalore,iPhone 13,No,Normal,No
CUST5863,35436,UPI,Chennai,Redmi Note 10,Yes,Large Transactions,Yes
CUST7335,220410,Debit Card,Patna,iPhone 13,Yes,Large Transactions,Yes
CUST3620,40137,UPI,Mumbai,OnePlus 9,Yes,High Frequency,Yes
CUST7234,198120,NEFT,Patna,Samsung S22,Yes,Large Transactions,Yes
CUST6493,487063,UPI,Jaipur,OnePlus 9,No,High Frequency,Yes
CUST1425,259186,Debit Card,Chennai,iPhone 13,No,High Frequency,Yes
CUST7482,455693,UPI,Delhi,Redmi Note 10,No,Large Transactions,Yes
CUST4470,120787,NEFT,Kolkata,iPhone 13,Yes,Normal,Yes
CUST4321,364658,UPI,Delhi,Vivo X70,Yes,Large Transactions,Yes
CUST4079,105856,UPI,Patna,Redmi Note 10,No,High Frequency,No
CUST5498,417343,RTGS,Jaipur,Vivo X70,No,Large Transactions,Yes
CUST2041,132183,NEFT,Mumbai,iPhone 13,No,Normal,No
CUST2008,71765,NEFT,Jaipur,iPhone 13,No,Normal,No
CUST3863,188227,UPI,Jaipur,Redmi Note 10,No,High Frequency,No
CUST5751,98497,NEFT,Bangalore,OnePlus 9,No,Normal,No
CUST7708,199381,RTGS,Patna,Vivo X70,Yes,Normal,Yes
CUST6342,330986,Debit Card,Delhi,Samsung S22,No,High Frequency,Yes
CUST4339,121261,UPI,Delhi,Vivo X70,No,Large Transactions,No
CUST6773,91649,NEFT,Delhi,iPhone 13,Yes,Large Transactions,Yes
CUST8075,67747,Debit Card,Delhi,Samsung S22,Yes,Large Transactions,Yes
CUST5130,54843,RTGS,Kolkata,iPhone 13,Yes,Normal,Yes
CUST9112,155883,Debit Card,Kolkata,Vivo X70,Yes,High Frequency,Yes
CUST4336,496351,IMPS,Bangalore,Redmi Note 10,No,Large Transactions,Yes
CUST6649,368250,NEFT,Jaipur,iPhone 13,No,Large Transactions,Yes
CUST5211,162318,UPI,Delhi,Samsung S22,No,High Frequency,No
CUST1354,352791,UPI,Delhi,OnePlus 9,Yes,Large Transactions,Yes
CUST1167,75261,Debit Card,Bangalore,Samsung S22,No,Large Transactions,No
CUST2034,231413,UPI,Jaipur,Samsung S22,No,Large Transactions,Yes
CUST2976,224228,Credit Card,Jaipur,OnePlus 9,No,Large Transactions,Yes
CUST2853,269782,Credit Card,Delhi,Redmi Note 10,No,High Frequency,Yes
CUST8117,12787,Credit Card,Mumbai,iPhone 13,Yes,Large Transactions,Yes
CUST1343,474086,RTGS,Kolkata,OnePlus 9,Yes,High Frequency,Yes
CUST3058,498299,UPI,Delhi,iPhone 13,Yes,Normal,Yes
CUST7561,172059,UPI,Kolkata,Vivo X70,No,Normal,No
CUST9664,56580,Credit Card,Mumbai,Samsung S22,Yes,High Frequency,Yes
CUST8117,431334,RTGS,Mumbai,Vivo X70,No,Large Transactions,Yes
CUST1678,219640,UPI,Jaipur,Redmi Note 10,No,Normal,Yes
CUST9509,382102,UPI,Delhi,iPhone 13,No,Large Transactions,Yes
CUST8072,357465,Credit Card,Bangalore,Redmi Note 10,No,Normal,Yes
CUST6973,117392,UPI,Jaipur,OnePlus 9,Yes,Large Transactions,Yes
CUST6098,63550,NEFT,Bangalore,Samsung S22,Yes,High Frequency,Yes
CUST8779,166688,Credit Card,Kolkata,Redmi Note 10,Yes,Normal,Yes
CUST5145,207744,UPI,Kolkata,Redmi Note 10,No,Large Transactions,Yes
CUST9573,404089,UPI,Mumbai,OnePlus 9,No,Large Transactions,Yes
CUST5148,45374,Debit Card,Kolkata,iPhone 13,Yes,High Frequency,Yes
CUST7668,380274,RTGS,Chennai,Samsung S22,Yes,High Frequency,Yes
CUST9154,84868,RTGS,Jaipur,Vivo X70,Yes,Large Transactions,Yes
CUST9023,44166,IMPS,Bangalore,Vivo X70,Yes,Normal,Yes
CUST2204,67232,IMPS,Patna,Redmi Note 10,No,Large Transactions,No
CUST2359,56545,NEFT,Kolkata,Vivo X70,Yes,Large Transactions,Yes
CUST7676,358606,NEFT,Delhi,iPhone 13,No,High Frequency,Yes
CUST1711,11994,IMPS,Jaipur,Vivo X70,Yes,Large Transactions,Yes
CUST3203,472582,IMPS,Delhi,OnePlus 9,No,Large Transactions,Yes
CUST6787,78249,Debit Card,Bangalore,Samsung S22,No,Large Transactions,No
CUST9226,80301,IMPS,Kolkata,Vivo X70,No,High Frequency,No
CUST9676,174477,Credit Card,Jaipur,Vivo X70,No,High Frequency,No
CUST1571,14083,Debit Card,Delhi,Redmi Note 10,Yes,Normal,Yes
CUST6023,196587,NEFT,Mumbai,Redmi Note 10,Yes,Large Transactions,Yes
CUST9313,88621,NEFT,Patna,Samsung S22,Yes,Large Transactions,Yes
CUST3996,335294,Credit Card,Kolkata,Samsung S22,Yes,Large Transactions,Yes
CUST4644,261096,RTGS,Bangalore,Samsung S22,Yes,High Frequency,Yes
CUST8218,132684,Debit Card,Chennai,OnePlus 9,Yes,Normal,Yes
CUST6310,16671,RTGS,Jaipur,iPhone 13,Yes,Large Transactions,Yes
CUST5906,420757,RTGS,Mumbai,Redmi Note 10,No,Large Transactions,Yes
CUST8151,33223,NEFT,Kolkata,iPhone 13,Yes,High Frequency,Yes
CUST9300,461646,Debit Card,Kolkata,OnePlus 9,Yes,Large Transactions,Yes
CUST8293,223492,IMPS,Patna,Redmi Note 10,Yes,High Frequency,Yes
CUST5062,474559,IMPS,Chennai,Redmi Note 10,No,Normal,Yes
CUST9341,235804,Credit Card,Jaipur,OnePlus 9,Yes,Normal,Yes
CUST3611,394711,Credit Card,Delhi,Vivo X70,No,Large Transactions,Yes
CUST7192,490770,RTGS,Chennai,Samsung S22,No,Large Transactions,Yes
CUST9293,147040,NEFT,Kolkata,Samsung S22,No,High Frequency,No
CUST5665,32614,NEFT,Mumbai,Redmi Note 10,No,High Frequency,No
CUST2341,228341,Credit Card,Kolkata,Vivo X70,No,Large Transactions,Yes
CUST4920,313190,Credit Card,Chennai,OnePlus 9,No,High Frequency,Yes
CUST3713,167111,UPI,Kolkata,Redmi Note 10,Yes,Large Transactions,Yes
CUST6497,362652,UPI,Delhi,Samsung S22,Yes,High Frequency,Yes
CUST1782,159233,Credit Card,Jaipur,Redmi Note 10,Yes,Large Transactions,Yes
CUST6171,335012,RTGS,Delhi,OnePlus 9,Yes,High Frequency,Yes
CUST6465,68181,UPI,Jaipur,OnePlus 9,No,High Frequency,No
CUST7747,198199,UPI,Bangalore,Samsung S22,Yes,Normal,Yes
CUST3659,444221,Debit Card,Patna,Vivo X70,No,Normal,Yes
CUST5753,100378,Debit Card,Delhi,OnePlus 9,Yes,Large Transactions,Yes
CUST6394,174388,RTGS,Mumbai,Redmi Note 10,Yes,Large Transactions,Yes
CUST4850,263037,Debit Card,Bangalore,iPhone 13,No,Large Transactions,Yes
CUST4892,264813,UPI,Delhi,OnePlus 9,No,High Frequency,Yes
CUST1079,298578,UPI,Delhi,Vivo X70,No,High Frequency,Yes
CUST7966,54644,RTGS,Jaipur,OnePlus 9,Yes,High Frequency,Yes
CUST6844,71752,Credit Card,Jaipur,iPhone 13,No,Large Transactions,No
CUST4482,363916,Debit Card,Mumbai,Redmi Note 10,Yes,Large Transactions,Yes
CUST5474,79136,RTGS,Chennai,OnePlus 9,Yes,Normal,Yes
CUST8188,392606,IMPS,Bangalore,Samsung S22,No,Normal,Yes
CUST2737,452724,RTGS,Kolkata,iPhone 13,Yes,Large Transactions,Yes
CUST2420,260129,UPI,Kolkata,Vivo X70,No,Large Transactions,Yes
CUST4847,4940,NEFT,Delhi,iPhone 13,Yes,Large Transactions,Yes
CUST3934,319936,RTGS,Bangalore,iPhone 13,No,Large Transactions,Yes
CUST3553,403693,Credit Card,Bangalore,Redmi Note 10,No,Normal,Yes
CUST9903,179702,RTGS,Bangalore,Redmi Note 10,No,High Frequency,No
CUST4535,188947,Credit Card,Delhi,Redmi Note 10,Yes,Normal,Yes
CUST8675,292364,IMPS,Jaipur,Vivo X70,No,Large Transactions,Yes
CUST4412,64663,Debit Card,Jaipur,Redmi Note 10,No,Normal,No
CUST3504,318541,IMPS,Jaipur,Redmi Note 10,No,Normal,Yes
CUST7746,498018,Debit Card,Jaipur,Redmi Note 10,No,Large Transactions,Yes
CUST2628,176966,Debit Card,Mumbai,Vivo X70,No,Normal,No
CUST4814,307291,RTGS,Delhi,iPhone 13,Yes,Normal,Yes
CUST9713,324012,Credit Card,Jaipur,OnePlus 9,No,High Frequency,Yes
CUST5797,89103,Credit Card,Patna,OnePlus 9,No,Large Transactions,No
CUST6194,53847,NEFT,Delhi,Samsung S22,No,Large Transactions,No
CUST5323,401778,RTGS,Mumbai,Vivo X70,Yes,Normal,Yes
CUST6416,217743,Debit Card,Patna,Vivo X70,No,High Frequency,Yes
CUST7582,58205,Debit Card,Bangalore,OnePlus 9,No,High Frequency,No
CUST7143,108606,NEFT,Jaipur,iPhone 13,No,High Frequency,No
CUST5603,30232,NEFT,Jaipur,Samsung S22,No,Normal,No
CUST3891,12869,IMPS,Delhi,Vivo X70,Yes,Large Transactions,Yes
CUST5447,64324,Credit Card,Mumbai,Redmi Note 10,No,Large Transactions,No
CUST7094,330388,IMPS,Bangalore,Vivo X70,Yes,High Frequency,Yes
CUST1807,399760,Credit Card,Bangalore,Vivo X70,Yes,Large Transactions,Yes
CUST8064,435597,IMPS,Mumbai,Vivo X70,No,Large Transactions,Yes
CUST5479,6431,UPI,Patna,iPhone 13,No,Large Transactions,No
CUST3549,78821,Credit Card,Patna,Vivo X70,Yes,High Frequency,Yes
CUST1487,69218,NEFT,Delhi,OnePlus 9,No,Normal,No
CUST1427,70619,RTGS,Mumbai,iPhone 13,Yes,High Frequency,Yes
CUST1559,45071,Credit Card,Jaipur,OnePlus 9,No,Normal,No
CUST6309,9782,IMPS,Chennai,Samsung S22,No,Large Transactions,No
CUST6247,494246,RTGS,Delhi,Redmi Note 10,Yes,Normal,Yes
CUST7139,137176,RTGS,Jaipur,iPhone 13,No,Normal,No
CUST2710,276446,UPI,Patna,iPhone 13,No,High Frequency,Yes
CUST4882,483236,UPI,Delhi,Redmi Note 10,Yes,High Frequency,Yes
CUST1024,327794,RTGS,Mumbai,Samsung S22,No,Normal,Yes
CUST2382,383109,Debit Card,Delhi,OnePlus 9,Yes,High Frequency,Yes
CUST3880,381013,Debit Card,Delhi,Vivo X70,Yes,Large Transactions,Yes
CUST5767,96567,UPI,Delhi,Redmi Note 10,Yes,Large Transactions,Yes
CUST3188,334403,RTGS,Delhi,OnePlus 9,Yes,Large Transactions,Yes
CUST7695,234653,Credit Card,Jaipur,OnePlus 9,Yes,Large Transactions,Yes
CUST4578,253597,RTGS,Chennai,Vivo X70,Yes,Large Transactions,Yes
CUST3044,251927,NEFT,Patna,OnePlus 9,Yes,High Frequency,Yes
CUST2179,35236,Credit Card,Patna,Redmi Note 10,No,Normal,No
CUST4462,410504,Credit Card,Mumbai,Redmi Note 10,Yes,Normal,Yes
CUST8790,119868,Debit Card,Chennai,iPhone 13,Yes,High Frequency,Yes
CUST1530,179026,NEFT,Mumbai,Vivo X70,Yes,Normal,Yes
CUST3625,98608,Credit Card,Patna,Samsung S22,Yes,High Frequency,Yes
CUST6982,390950,UPI,Jaipur,Samsung S22,Yes,Large Transactions,Yes
CUST2898,483912,UPI,Delhi,iPhone 13,Yes,High Frequency,Yes
CUST4844,257963,RTGS,Mumbai,Redmi Note 10,Yes,Normal,Yes
CUST1778,455985,Credit Card,Bangalore,Vivo X70,Yes,Normal,Yes
CUST9800,65065,NEFT,Patna,OnePlus 9,No,High Frequency,No
CUST2905,300314,IMPS,Kolkata,iPhone 13,Yes,Large Transactions,Yes
CUST1217,249853,UPI,Mumbai,Samsung S22,No,Normal,Yes
CUST7034,389553,UPI,Patna,Samsung S22,No,Large Transactions,Yes
CUST6641,366041,Credit Card,Patna,Samsung S22,Yes,Normal,Yes
CUST5780,291502,RTGS,Patna,iPhone 13,No,Normal,Yes
CUST7794,353498,NEFT,Mumbai,Redmi Note 10,Yes,Normal,Yes
CUST4792,433256,NEFT,Patna,Vivo X70,Yes,Normal,Yes
CUST6235,449342,RTGS,Delhi,Vivo X70,No,High Frequency,Yes
CUST4141,219918,UPI,Chennai,iPhone 13,Yes,Large Transactions,Yes
CUST9526,243001,NEFT,Chennai,Redmi Note 10,No,High Frequency,Yes
CUST8951,241752,NEFT,Bangalore,iPhone 13,Yes,Normal,Yes
CUST9287,437303,Credit Card,Chennai,iPhone 13,Yes,Normal,Yes
CUST4315,44635,RTGS,Mumbai,Samsung S22,Yes,Normal,Yes
CUST9850,97380,Debit Card,Jaipur,iPhone 13,No,Normal,No
CUST7074,297216,IMPS,Jaipur,iPhone 13,Yes,High Frequency,Yes
CUST3695,188047,Credit Card,Chennai,Redmi Note 10,Yes,High Frequency,Yes
CUST7236,190648,Credit Card,Mumbai,Samsung S22,Yes,Normal,Yes
CUST4107,100299,RTGS,Kolkata,Vivo X70,No,Large Transactions,No
CUST7741,392001,NEFT,Mumbai,Redmi Note 10,No,Large Transactions,Yes
CUST6469,449823,UPI,Delhi,Samsung S22,No,High Frequency,Yes
CUST3411,106490,Debit Card,Bangalore,Redmi Note 10,Yes,High Frequency,Yes
CUST3852,272252,Credit Card,Patna,iPhone 13,No,Large Transactions,Yes
CUST9939,224370,Credit Card,Kolkata,Vivo X70,No,Normal,Yes
CUST7690,355336,RTGS,Patna,Redmi Note 10,No,High Frequency,Yes
CUST6948,287499,Debit Card,Chennai,Vivo X70,Yes,Large Transactions,Yes
CUST4109,290495,NEFT,Kolkata,OnePlus 9,No,Large Transactions,Yes
CUST4903,83907,IMPS,Chennai,Vivo X70,Yes,High Frequency,Yes
CUST3841,384866,NEFT,Bangalore,iPhone 13,No,Normal,Yes
CUST1263,30581,UPI,Delhi,OnePlus 9,Yes,Large Transactions,Yes
CUST7034,80621,Credit Card,Kolkata,Samsung S22,No,High Frequency,No
CUST6994,390972,RTGS,Kolkata,iPhone 13,Yes,Normal,Yes
CUST7678,467356,UPI,Bangalore,iPhone 13,Yes,Large Transactions,Yes
CUST5630,170088,Debit Card,Chennai,Redmi Note 10,Yes,Normal,Yes
CUST3728,104957,Credit Card,Mumbai,Redmi Note 10,Yes,Normal,Yes
CUST2109,440285,Debit Card,Patna,OnePlus 9,Yes,Large Transactions,Yes
CUST4705,25199,UPI,Bangalore,Samsung S22,No,Large Transactions,No
CUST9763,259690,NEFT,Bangalore,Samsung S22,No,Large Transactions,Yes
CUST8358,173373,Debit Card,Jaipur,OnePlus 9,Yes,Normal,Yes
CUST1116,2756,RTGS,Bangalore,Vivo X70,Yes,Large Transactions,Yes
CUST9833,213264,RTGS,Mumbai,iPhone 13,Yes,Normal,Yes
CUST8880,460210,NEFT,Mumbai,Samsung S22,Yes,Large Transactions,Yes
CUST9903,66368,RTGS,Chennai,Redmi Note 10,No,Normal,No
CUST1426,475049,RTGS,Bangalore,Samsung S22,No,Normal,Yes
CUST3363,195415,RTGS,Bangalore,iPhone 13,Yes,Normal,Yes
CUST8979,403159,IMPS,Mumbai,Samsung S22,Yes,Large Transactions,Yes
CUST1664,322659,UPI,Delhi,Samsung S22,No,Normal,Yes
CUST8615,16998,RTGS,Patna,Samsung S22,Yes,Large Transactions,Yes
CUST4288,458436,IMPS,Mumbai,Redmi Note 10,Yes,High Frequency,Yes
CUST4112,7004,UPI,Kolkata,Samsung S22,No,High Frequency,No
CUST8607,153732,Debit Card,Bangalore,Vivo X70,No,High Frequency,No
CUST8123,481245,IMPS,Jaipur,Samsung S22,Yes,Normal,Yes
CUST2175,481697,Debit Card,Jaipur,OnePlus 9,Yes,Large Transactions,Yes
CUST6689,175393,RTGS,Chennai,Samsung S22,No,High Frequency,No
CUST8428,483857,UPI,Jaipur,Vivo X70,No,Large Transactions,Yes
CUST9261,216456,IMPS,Bangalore,OnePlus 9,Yes,Large Transactions,Yes
CUST8401,113194,Credit Card,Mumbai,Vivo X70,Yes,Large Transactions,Yes
CUST8907,425904,RTGS,Delhi,OnePlus 9,Yes,High Frequency,Yes
CUST6412,396993,NEFT,Jaipur,Vivo X70,No,High Frequency,Yes
CUST1258,255036,Credit Card,Bangalore,Samsung S22,Yes,Normal,Yes
CUST9052,114619,Debit Card,Delhi,Samsung S22,Yes,Large Transactions,Yes
CUST2934,265984,IMPS,Jaipur,Redmi Note 10,Yes,Normal,Yes
CUST4945,84157,Credit Card,Bangalore,Vivo X70,No,High Frequency,No
CUST5913,79905,IMPS,Chennai,Vivo X70,Yes,High Frequency,Yes
CUST7987,231167,NEFT,Kolkata,Redmi Note 10,No,Large Transactions,Yes
CUST1313,421818,Debit Card,Bangalore,Samsung S22,Yes,Large Transactions,Yes
CUST3450,433747,UPI,Patna,iPhone 13,No,Large Transactions,Yes
CUST4930,330839,RTGS,Bangalore,iPhone 13,No,Large Transactions,Yes
CUST5995,51278,Credit Card,Bangalore,OnePlus 9,No,Large Transactions,No
CUST7841,139948,UPI,Kolkata,Samsung S22,Yes,Large Transactions,Yes
CUST9654,250056,Debit Card,Mumbai,Vivo X70,Yes,Normal,Yes
CUST8070,396675,IMPS,Mumbai,OnePlus 9,No,High Frequency,Yes
CUST1138,119569,IMPS,Jaipur,Redmi Note 10,No,Large Transactions,No
CUST2953,134655,UPI,Delhi,Samsung S22,No,Normal,No
CUST5981,437496,IMPS,Kolkata,iPhone 13,No,Normal,Yes
CUST8148,180920,UPI,Delhi,Samsung S22,No,High Frequency,No
CUST1428,174671,UPI,Patna,Vivo X70,No,High Frequency,No
CUST9109,50423,RTGS,Delhi,Redmi Note 10,No,Large Transactions,No
CUST7120,231468,IMPS,Bangalore,OnePlus 9,Yes,Large Transactions,Yes
CUST2203,259156,UPI,Delhi,OnePlus 9,Yes,Large Transactions,Yes
CUST5497,471038,Debit Card,Patna,Samsung S22,Yes,High Frequency,Yes
CUST9488,123193,RTGS,Bangalore,OnePlus 9,Yes,High Frequency,Yes
CUST7927,259768,Credit Card,Jaipur,Samsung S22,Yes,High Frequency,Yes
CUST3317,29671,Credit Card,Bangalore,Vivo X70,Yes,High Frequency,Yes
CUST7955,162087,Credit Card,Mumbai,Vivo X70,Yes,Normal,Yes
CUST2483,428195,Debit Card,Chennai,Redmi Note 10,No,High Frequency,Yes
CUST1754,217140,UPI,Jaipur,Vivo X70,No,Large Transactions,Yes
CUST5632,120151,IMPS,Chennai,iPhone 13,No,Large Transactions,No
CUST3020,71844,Credit Card,Delhi,Vivo X70,No,Normal,No
CUST2195,306098,Credit Card,Jaipur,Samsung S22,Yes,Normal,Yes
CUST8106,288540,Debit Card,Chennai,Redmi Note 10,No,Normal,Yes
CUST5312,406471,Debit Card,Mumbai,Samsung S22,No,Large Transactions,Yes
CUST5247,49754,Debit Card,Mumbai,OnePlus 9,Yes,Large Transactions,Yes
CUST6082,181553,UPI,Jaipur,Samsung S22,Yes,High Frequency,Yes
CUST9031,267479,RTGS,Jaipur,Redmi Note 10,Yes,Large Transactions,Yes
CUST8434,351790,IMPS,Chennai,Vivo X70,Yes,High Frequency,Yes
CUST6116,158614,IMPS,Kolkata,iPhone 13,Yes,Large Transactions,Yes
CUST6026,178370,IMPS,Patna,iPhone 13,Yes,Large Transactions,Yes
CUST4008,234215,NEFT,Jaipur,Samsung S22,No,High Frequency,Yes
CUST8347,180973,NEFT,Bangalore,Vivo X70,Yes,Normal,Yes
CUST3064,367065,Debit Card,Bangalore,Samsung S22,Yes,Normal,Yes
CUST9235,371202,Credit Card,Bangalore,Vivo X70,No,Normal,Yes
CUST2889,441766,IMPS,Delhi,iPhone 13,Yes,High Frequency,Yes
CUST1754,284827,NEFT,Jaipur,iPhone 13,Yes,High Frequency,Yes
CUST5941,97756,UPI,Bangalore,Redmi Note 10,No,Normal,No
CUST5044,364300,Debit Card,Jaipur,Redmi Note 10,No,High Frequency,Yes
CUST1420,45230,Debit Card,Kolkata,iPhone 13,No,Large Transactions,No
CUST3539,393329,Debit Card,Bangalore,Samsung S22,Yes,Normal,Yes
CUST4668,268858,IMPS,Patna,Vivo X70,No,Normal,Yes
CUST8614,7254,IMPS,Chennai,OnePlus 9,Yes,Normal,Yes
CUST9748,284702,IMPS,Delhi,Samsung S22,Yes,Large Transactions,Yes
CUST3245,379224,Debit Card,Mumbai,Redmi Note 10,Yes,Large Transactions,Yes
CUST5125,247080,UPI,Jaipur,Vivo X70,Yes,High Frequency,Yes
CUST9661,257742,RTGS,Mumbai,Vivo X70,Yes,Normal,Yes
CUST7413,195567,Debit Card,Bangalore,Samsung S22,No,Large Transactions,No
CUST8783,373575,IMPS,Jaipur,Redmi Note 10,No,Normal,Yes
CUST4466,218766,Debit Card,Patna,Vivo X70,Yes,High Frequency,Yes
CUST8693,205101,NEFT,Patna,Redmi Note 10,Yes,High Frequency,Yes
CUST1093,206847,Credit Card,Kolkata,Vivo X70,No,Normal,Yes
CUST6309,41103,Credit Card,Jaipur,Redmi Note 10,Yes,Large Transactions,Yes
CUST6973,96401,Debit Card,Mumbai,Samsung S22,Yes,High Frequency,Yes
CUST9619,242163,UPI,Bangalore,Vivo X70,Yes,Normal,Yes
CUST8094,328524,UPI,Kolkata,Vivo X70,No,Large Transactions,Yes
CUST5362,131257,RTGS,Delhi,Vivo X70,No,Large Transactions,No
CUST3994,40021,Debit Card,Delhi,iPhone 13,Yes,Large Transactions,Yes
CUST2158,91259,Debit Card,Chennai,OnePlus 9,No,Normal,No
CUST2079,433918,Credit Card,Chennai,Samsung S22,Yes,Normal,Yes
CUST2327,133153,UPI,Bangalore,OnePlus 9,Yes,Normal,Yes
CUST3709,31190,UPI,Mumbai,Vivo X70,Yes,Large Transactions,Yes
CUST6302,452037,Credit Card,Delhi,Redmi Note 10,Yes,Large Transactions,Yes
CUST7387,462034,IMPS,Patna,Redmi Note 10,Yes,High Frequency,Yes
CUST5226,49200,RTGS,Delhi,Redmi Note 10,No,Normal,No
CUST4661,480968,IMPS,Delhi,OnePlus 9,Yes,Normal,Yes
CUST8394,145339,RTGS,Patna,iPhone 13,No,High Frequency,No
CUST5922,253663,UPI,Kolkata,OnePlus 9,No,High Frequency,Yes
CUST4013,284416,Debit Card,Chennai,Redmi Note 10,Yes,High Frequency,Yes
CUST6656,146386,UPI,Delhi,Vivo X70,Yes,Large Transactions,Yes
CUST8576,188735,IMPS,Patna,iPhone 13,Yes,Large Transactions,Yes
CUST1279,174664,Debit Card,Mumbai,Vivo X70,No,Large Transactions,No
CUST1377,421695,NEFT,Delhi,OnePlus 9,Yes,High Frequency,Yes
CUST3476,456912,NEFT,Patna,OnePlus 9,No,Large Transactions,Yes
CUST9019,318461,UPI,Jaipur,iPhone 13,No,Normal,Yes
CUST3863,226217,Debit Card,Kolkata,Samsung S22,No,Large Transactions,Yes
CUST1670,279178,UPI,Kolkata,OnePlus 9,Yes,High Frequency,Yes
CUST2128,239157,NEFT,Bangalore,iPhone 13,No,Normal,Yes
CUST9256,20061,UPI,Chennai,Redmi Note 10,Yes,Normal,Yes
CUST8269,99552,NEFT,Bangalore,Redmi Note 10,No,High Frequency,No
